cluster,min_support,min_threshold,num_rules,avg_lift,avg_conf,score
Average customer,0.01,1.0,324,1.8293,0.1875,-23.5372
Average customer,0.01,1.1,324,1.8293,0.1875,-23.5372
Average customer,0.01,1.2,324,1.8293,0.1875,-23.5372
Average customer,0.01,1.5,208,2.0766,0.2103,-11.1497
Average customer,0.02,1.0,58,1.9799,0.2504,5.0404
Average customer,0.02,1.1,58,1.9799,0.2504,5.0404
Average customer,0.02,1.2,58,1.9799,0.2504,5.0404
Average customer,0.02,1.5,56,2.0017,0.2524,5.21
Average customer,0.03,1.0,16,2.0027,0.3032,6.6144
Average customer,0.03,1.1,16,2.0027,0.3032,6.6144
Average customer,0.03,1.2,16,2.0027,0.3032,6.6144
Average customer,0.03,1.5,16,2.0027,0.3032,6.6144
Average customer,0.05,1.0,4,2.2217,0.3733,7.4116
Average customer,0.05,1.1,4,2.2217,0.3733,7.4116
Average customer,0.05,1.2,4,2.2217,0.3733,7.4116
Average customer,0.05,1.5,4,2.2217,0.3733,7.4116
Average customer,0.08,1.0,0,0.0,0.0,-20.0
Average customer,0.08,1.1,0,0.0,0.0,-20.0
Average customer,0.08,1.2,0,0.0,0.0,-20.0
Average customer,0.08,1.5,0,0.0,0.0,-20.0
Average customer,0.1,1.0,0,0.0,0.0,-20.0
Average customer,0.1,1.1,0,0.0,0.0,-20.0
Average customer,0.1,1.2,0,0.0,0.0,-20.0
Average customer,0.1,1.5,0,0.0,0.0,-20.0
Average customer,0.15,1.0,0,0.0,0.0,-20.0
Average customer,0.15,1.1,0,0.0,0.0,-20.0
Average customer,0.15,1.2,0,0.0,0.0,-20.0
Average customer,0.15,1.5,0,0.0,0.0,-20.0
Average customer,0.2,1.0,0,0.0,0.0,-20.0
Average customer,0.2,1.1,0,0.0,0.0,-20.0
Average customer,0.2,1.2,0,0.0,0.0,-20.0
Average customer,0.2,1.5,0,0.0,0.0,-20.0
Average customer,0.25,1.0,0,0.0,0.0,-20.0
Average customer,0.25,1.1,0,0.0,0.0,-20.0
Average customer,0.25,1.2,0,0.0,0.0,-20.0
Average customer,0.25,1.5,0,0.0,0.0,-20.0
Average customer,0.3,1.0,0,0.0,0.0,-20.0
Average customer,0.3,1.1,0,0.0,0.0,-20.0
Average customer,0.3,1.2,0,0.0,0.0,-20.0
Average customer,0.3,1.5,0,0.0,0.0,-20.0
Bargain hunters,0.01,1.0,136,1.7291,0.162,-5.0886
Bargain hunters,0.01,1.1,132,1.7499,0.1636,-4.6232
Bargain hunters,0.01,1.2,126,1.778,0.1653,-3.9355
Bargain hunters,0.01,1.5,82,1.983,0.1772,1.1034
